Table S1. Isolates and genomes used in this study.											
											
Identifier	Isolate name	Country of isolation	Date of isolation	Phylogenetic group	Sequence typea	Clonal complexb	Isolation source	Additional infection/isolation information	Population 	Additional infection/isolation information	NCBI Reference
3824	AV85		8/29/13	B2	429		Broiler chicken	Faecal	Asymptomatic carriage		This study
3826	AV87		9/19/13	B1	616	ST155 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3827	AV88		9/25/13	B1	162	ST469 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3828	AV89		9/25/13	D	38	ST38 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3829	AV90		9/25/13	B1			Broiler chicken	Faecal	Asymptomatic carriage		This study
3831	AV92		10/15/13	A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3832	AV93			B2	428			Peritonitis	Asymptomatic carriage		This study
3833	AV94		12/2/13	D	69	ST69 Cplx	Broiler chicken	Peritonitis	Infection 		This study
3834	AV95		12/2/13	A	542		Broiler chicken	Pericarditis	Infection 		This study
3835	AV96		12/13/13	B1	602	ST446 Cplx	Broiler chicken	Pericarditis	Infection 		This study
4056	AV_b2_17			B2	135		Broiler chicken	Liver - Periheaptitis 	Infection 		This study
4057	AV_b2_29			ST117	117	ST117 CC	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
4058	AV_b2_48			A	5625		Broiler chicken	Faecal	Infection 		This study
4059	AV_b2_68			D	38	ST38 Cplx	Broiler chicken	Faecal	Infection 		This study
4060	AV_b2_69			B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
4061	AV_b2_83			B2	355			Faecal	Asymptomatic carriage		This study
4063	AV_b2_97			B2	95	ST95 Cplx	Broiler chicken	Pericarditis	Infection 		This study
4064	AV_b2_98			B2	429		Broiler chicken	Liver - Periheaptitis 	Infection 		This study
4065	AV_b2_99			B2	429		Broiler chicken	Liver - Periheaptitis 	Infection 		This study
4475	9363-EC-USA-CBL	USA	2017-01-11	B1	155	ST155 Cplx	Broiler chicken	post mortem	Infection 		This study
4477	9365-EC-USA-CBL	USA	2017-01-11	B1	155	ST155 Cplx	Broiler chicken	post mortem	Infection 		This study
4478	9366-EC-USA-CBL	USA	2017-01-11	B1	155	ST155 Cplx	Broiler chicken	post mortem	Infection 		This study
4479	9367-EC-USA-CBL	USA	2017-01-11	B1	155	ST155 Cplx	Broiler chicken	post mortem	Infection 		This study
