strainName	animal	pathogenicity
scaffold_LOPR010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5130AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5383AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5353AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB6296AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONL010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2570AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONM010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5329AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCHD0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5162AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5356AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2921AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2569AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOOU010.fasta.vcf	cow	pathogen
scaffold_LOOT010.fasta.vcf	cow	pathogen
scaffold_ESC_JB6293AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCHI0100.fasta.vcf	cow	pathogen
scaffold_JACCGP0100.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3238AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5167AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5382AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCHB0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5131AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONX010.fasta.vcf	cow	pathogen
scaffold_LONY010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2571AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGN0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5328AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOPF010.fasta.vcf	cow	pathogen
scaffold_LOOK010.fasta.vcf	cow	pathogen
scaffold_LOPG010.fasta.vcf	cow	pathogen
scaffold_LOOJ010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5163AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGV0100.fasta.vcf	cow	pathogen
scaffold_LONR010.fasta.vcf	cow	pathogen
scaffold_LONS010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5134AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOOA010.fasta.vcf	cow	pathogen
scaffold_LOPL010.fasta.vcf	cow	pathogen
scaffold_LOPM010.fasta.vcf	cow	pathogen
scaffold_ESC_JB6292AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2574AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3239AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5166AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5381AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5132AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2990AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_CB0957AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3245AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5148AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2572AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB6294AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3259AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2408AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOPA010.fasta.vcf	cow	pathogen
scaffold_LOOL010.fasta.vcf	cow	pathogen
scaffold_LOOM010.fasta.vcf	cow	pathogen
scaffold_JACCHE0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5354AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5384AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONU010.fasta.vcf	cow	pathogen
scaffold_LONT010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5151AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2989AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOOF010.fasta.vcf	cow	pathogen
scaffold_LOPK010.fasta.vcf	cow	pathogen
scaffold_LOOG010.fasta.vcf	cow	pathogen
scaffold_LOPJ010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2577AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5165AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCHH0100.fasta.vcf	cow	pathogen
scaffold_JACCGQ0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5133AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5380AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOOX010.fasta.vcf	cow	pathogen
scaffold_LOOY010.fasta.vcf	cow	pathogen
scaffold_JACCGZ0100.fasta.vcf	cow	pathogen
scaffold_JACCHC0100.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3244AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5149AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3258AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB6295AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2573AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONK010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2409AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONJ010.fasta.vcf	cow	pathogen
scaffold_JACCGO0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5355AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5150AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGW0100.fasta.vcf	cow	pathogen
scaffold_LOOR010.fasta.vcf	cow	pathogen
scaffold_LOOS010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2576AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5164AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONQ010.fasta.vcf	cow	pathogen
scaffold_LONP010.fasta.vcf	cow	pathogen
scaffold_JACCHF0100.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2903AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3260AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOPO010.fasta.vcf	cow	pathogen
scaffold_LOOB010.fasta.vcf	cow	pathogen
scaffold_LOPN010.fasta.vcf	cow	pathogen
scaffold_LOOC010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5340AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2405AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5326AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3254AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5145AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGR0100.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2566AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONZ010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2898AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5395AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3251AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOOH010.fasta.vcf	cow	pathogen
scaffold_LOPE010.fasta.vcf	cow	pathogen
scaffold_LOOI010.fasta.vcf	cow	pathogen
scaffold_LOPD010.fasta.vcf	cow	pathogen
scaffold_JACCGL0100.fasta.vcf	cow	pathogen
scaffold_LOOV010.fasta.vcf	cow	pathogen
scaffold_LOOW010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3261AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGY0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5341AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5327AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2404AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3255AA_AS.result.fasta.vcf	cow	pathogen
ESC_ZA1996AA_AS.result(1).fasta	cow	pathogen
scaffold_LOPQ010.fasta.vcf	cow	pathogen
scaffold_LOPP010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2899AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGT0100.fasta.vcf	cow	pathogen
scaffold_LONO010.fasta.vcf	cow	pathogen
scaffold_LONN010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5394AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3250AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2401AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2901AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOOQ010.fasta.vcf	cow	pathogen
scaffold_LOOP010.fasta.vcf	cow	pathogen
scaffold_JACCHG0100.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3262AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5342AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5147AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOOZ010.fasta.vcf	cow	pathogen
scaffold_JACCGS0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5397AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONI010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3235AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2578AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3253AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2402AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2900AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONV010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5339AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONW010.fasta.vcf	cow	pathogen
scaffold_JACCGM0100.fasta.vcf	cow	pathogen
scaffold_LOPH010.fasta.vcf	cow	pathogen
scaffold_LOOE010.fasta.vcf	cow	pathogen
scaffold_LOPI010.fasta.vcf	cow	pathogen
scaffold_LOOD010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5343AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2406AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCHA0100.fasta.vcf	cow	pathogen
scaffold_JACCGX0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5146AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3257AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2565AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5396AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGU0100.fasta.vcf	cow	pathogen
scaffold_LOOO010.fasta.vcf	cow	pathogen
scaffold_LOPB010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3252AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOON010.fasta.vcf	cow	pathogen
scaffold_LOPC010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2403AA_AS.result.fasta.vcf	cow	pathogen
scaffold_NZ_BIBG01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDE01000.fasta.vcf	cow	commensal
scaffold_NZ_BICU01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEW01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIS01000.fasta.vcf	cow	commensal
scaffold_NZ_BICK01000.fasta.vcf	cow	commensal
scaffold_NZ_JYKB01000.fasta.vcf	cow	commensal
scaffold_NZ_BGJJ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEI01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIM01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBY01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEZ01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZR01000.fasta.vcf	cow	commensal
scaffold_NZ_BICX01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDH01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAM01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBJ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDV01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAS01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBT01000.fasta.vcf	cow	commensal
scaffold_NZ_BGJG01000.fasta.vcf	cow	commensal
scaffold_NZ_BIED01000.fasta.vcf	cow	commensal
scaffold_NZ_BIFC01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZL01000.fasta.vcf	cow	commensal
scaffold_NZ_BICF01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDM01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBO01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAH01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZW01000.fasta.vcf	cow	commensal
scaffold_NZ_BGAD01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIE01000.fasta.vcf	cow	commensal
scaffold_NZ_BGJB01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEA01000.fasta.vcf	cow	commensal
scaffold_AP024126.1.fasta.vcf	cow	commensal
scaffold_NZ_BICC01000.fasta.vcf	cow	commensal
scaffold_NZ_LCVI01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDS01000.fasta.vcf	cow	commensal
scaffold_NZ_LAGW01000.fasta.vcf	cow	commensal
scaffold_NZ_BGHW01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBQ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAV01000.fasta.vcf	cow	commensal
scaffold_NZ_BICP01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZZ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIER01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBB01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAE01000.fasta.vcf	cow	commensal
scaffold_NZ_BGHZ01000.fasta.vcf	cow	commensal
scaffold_NZ_BICN01000.fasta.vcf	cow	commensal
scaffold_NZ_BGDR01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIH01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEL01000.fasta.vcf	cow	commensal
scaffold_NZ_BICI01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIO01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEK01000.fasta.vcf	cow	commensal
scaffold_NZ_BGJH01000.fasta.vcf	cow	commensal
scaffold_NZ_BGEG01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDY01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBE01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAB01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDG01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIQ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEU01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDT01000.fasta.vcf	cow	commensal
scaffold_NZ_BGHP01000.fasta.vcf	cow	commensal
scaffold_NZ_BFZB01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBV01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAQ01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIB01000.fasta.vcf	cow	commensal
scaffold_NZ_BIFA01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEF01000.fasta.vcf	cow	commensal
scaffold_NZ_BGJE01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZN01000.fasta.vcf	cow	commensal
scaffold_NZ_BICD01000.fasta.vcf	cow	commensal
scaffold_NZ_BGDX01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEX01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZP01000.fasta.vcf	cow	commensal
scaffold_NZ_BICZ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDJ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBH01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAO01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEC01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIG01000.fasta.vcf	cow	commensal
scaffold_NZ_BIFD01000.fasta.vcf	cow	commensal
scaffold_NZ_BICA01000.fasta.vcf	cow	commensal
scaffold_NZ_BGHU01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDQ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAT01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBS01000.fasta.vcf	cow	commensal
scaffold_NZ_BGHK01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDO01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAJ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBM01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZU01000.fasta.vcf	cow	commensal
scaffold_NZ_JYHQ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAY01000.fasta.vcf	cow	commensal
scaffold_NZ_BFYM01000.fasta.vcf	cow	commensal
scaffold_NZ_BGHX01000.fasta.vcf	cow	commensal
scaffold_NZ_BICL01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEN01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIJ01000.fasta.vcf	cow	commensal
scaffold_NZ_BICR01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZX01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEP01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAG01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDB01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZV01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIZ01000.fasta.vcf	cow	commensal
scaffold_AP024130.1.fasta.vcf	cow	commensal
scaffold_NZ_BIDL01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBN01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAI01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDR01000.fasta.vcf	cow	commensal
scaffold_NZ_LCVH01000.fasta.vcf	cow	commensal
scaffold_NZ_BGHV01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBP01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAW01000.fasta.vcf	cow	commensal
scaffold_NZ_JYPB01000.fasta.vcf	cow	commensal
scaffold_NZ_BGID01000.fasta.vcf	cow	commensal
scaffold_NZ_BGJC01000.fasta.vcf	cow	commensal
scaffold_NZ_BICB01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBC01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAD01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDA01000.fasta.vcf	cow	commensal
scaffold_NZ_BGHE01000.fasta.vcf	cow	commensal
scaffold_NZ_MOAH01000.fasta.vcf	cow	commensal
scaffold_NZ_BICQ01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIW01000.fasta.vcf	cow	commensal
scaffold_NZ_BIES01000.fasta.vcf	cow	commensal
scaffold_NZ_BGBO01000.fasta.vcf	cow	commensal
scaffold_NZ_BICO01000.fasta.vcf	cow	commensal
scaffold_NZ_BGII01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEM01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAZ01000.fasta.vcf	cow	commensal
scaffold_NZ_BICT01000.fasta.vcf	cow	commensal
scaffold_NZ_LAUD01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEV01000.fasta.vcf	cow	commensal
scaffold_NZ_BGIR01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAA01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBF01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDD01000.fasta.vcf	cow	commensal
scaffold_NZ_BGED01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBX01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDZ01000.fasta.vcf	cow	commensal
scaffold_NZ_BICJ01000.fasta.vcf	cow	commensal
scaffold_NZ_BIEH01000.fasta.vcf	cow	commensal
scaffold_NZ_BGJK01000.fasta.vcf	cow	commensal
scaffold_NZ_BIDI01000.fasta.vcf	cow	commensal
scaffold_NZ_BFYX01000.fasta.vcf	cow	commensal
scaffold_NZ_BIAL01000.fasta.vcf	cow	commensal
scaffold_NZ_BIBK01000.fasta.vcf	cow	commensal
scaffold_NZ_BHZS01000.fasta.vcf	cow	commensal
