Name,animal,pathogenicity
NZ_BIAG01000_fasta,0,1
NZ_BIDB01000_fasta,0,1
NZ_BHZV01000_fasta,0,1
NZ_BGIZ01000_fasta,0,1
AP024130_1_fasta,0,1
NZ_BIDL01000_fasta,0,1
NZ_BIBN01000_fasta,0,1
NZ_BIAI01000_fasta,0,1
NZ_BIDR01000_fasta,0,1
NZ_LCVH01000_fasta,0,1
NZ_BGHV01000_fasta,0,1
NZ_BIBP01000_fasta,0,1
NZ_BIAW01000_fasta,0,1
NZ_JYPB01000_fasta,0,1
NZ_BGID01000_fasta,0,1
NZ_BGJC01000_fasta,0,1
NZ_BICB01000_fasta,0,1
NZ_BIBC01000_fasta,0,1
NZ_BIAD01000_fasta,0,1
NZ_BIDA01000_fasta,0,1
NZ_BGHE01000_fasta,0,1
NZ_MOAH01000_fasta,0,1
NZ_BICQ01000_fasta,0,1
NZ_BGIW01000_fasta,0,1
NZ_BIES01000_fasta,0,1
NZ_BGBO01000_fasta,0,1
NZ_BICO01000_fasta,0,1
NZ_BGII01000_fasta,0,1
NZ_BIEM01000_fasta,0,1
NZ_BIAZ01000_fasta,0,1
NZ_BICT01000_fasta,0,1
NZ_LAUD01000_fasta,0,1
NZ_BIEV01000_fasta,0,1
NZ_BGIR01000_fasta,0,1
NZ_BIAA01000_fasta,0,1
NZ_BIBF01000_fasta,0,1
NZ_BIDD01000_fasta,0,1
NZ_BGED01000_fasta,0,1
NZ_BIBX01000_fasta,0,1
NZ_BIDZ01000_fasta,0,1
NZ_BICJ01000_fasta,0,1
NZ_BIEH01000_fasta,0,1
NZ_BGJK01000_fasta,0,1
NZ_BIDI01000_fasta,0,1
NZ_BFYX01000_fasta,0,1
NZ_BIAL01000_fasta,0,1
NZ_BIBK01000_fasta,0,1
NZ_BHZS01000_fasta,0,1
NZ_BICY01000_fasta,0,1
NZ_BIEE01000_fasta,0,1
NZ_BGJF01000_fasta,0,1
NZ_BGIA01000_fasta,0,1
NZ_BIFB01000_fasta,0,1
NZ_BHZM01000_fasta,0,1
NZ_BICG01000_fasta,0,1
NZ_BGHS01000_fasta,0,1
NZ_BIDW01000_fasta,0,1
NZ_BIAR01000_fasta,0,1
NZ_BIBU01000_fasta,0,1
NZ_BGHT01000_fasta,0,1
NZ_LCVJ01000_fasta,0,1
NZ_BIDP01000_fasta,0,1
NZ_BIAU01000_fasta,0,1
NZ_BIBR01000_fasta,0,1
NZ_BGJA01000_fasta,0,1
NZ_BIEB01000_fasta,0,1
NZ_BGIF01000_fasta,0,1
NZ_BHZT01000_fasta,0,1
NZ_JYHP01000_fasta,0,1
NZ_BIDN01000_fasta,0,1
NZ_BIAK01000_fasta,0,1
NZ_BIBL01000_fasta,0,1
NZ_BICM01000_fasta,0,1
AP024123_1_fasta,0,1
NZ_BIEO01000_fasta,0,1
NZ_BGIK01000_fasta,0,1
NZ_BIAX01000_fasta,0,1
NZ_BGHY01000_fasta,0,1
NZ_LCVG01000_fasta,0,1
NZ_BIAF01000_fasta,0,1
NZ_BIBA01000_fasta,0,1
NZ_BGHG01000_fasta,0,1
NZ_BIDC01000_fasta,0,1
NZ_BICS01000_fasta,0,1
NZ_LAUC01000_fasta,0,1
NZ_BHZY01000_fasta,0,1
NZ_BIEQ01000_fasta,0,1
NZ_BGIU01000_fasta,0,1
NZ_BIBZ01000_fasta,0,1
NZ_BGCD01000_fasta,0,1
NZ_BIDX01000_fasta,0,1
NZ_BICH01000_fasta,0,1
NZ_BGJI01000_fasta,0,1
NZ_BIEJ01000_fasta,0,1
NZ_BICV01000_fasta,0,1
NZ_BGIP01000_fasta,0,1
NZ_BIET01000_fasta,0,1
NZ_BIBD01000_fasta,0,1
NZ_BGEX01000_fasta,0,1
NZ_BIAC01000_fasta,0,1
NZ_BIDF01000_fasta,0,1
NZ_BGIC01000_fasta,0,1
NZ_BGJD01000_fasta,0,1
NZ_BIEG01000_fasta,0,1
NZ_BHZO01000_fasta,0,1
NZ_BICE01000_fasta,0,1
NZ_BIDU01000_fasta,0,1
NZ_BGHQ01000_fasta,0,1
NZ_BIBW01000_fasta,0,1
NZ_BIAP01000_fasta,0,1
NZ_BIDK01000_fasta,0,1
NZ_BGHO01000_fasta,0,1
NZ_BIBI01000_fasta,0,1
NZ_JXUH01000_fasta,0,1
NZ_BIAN01000_fasta,0,1
NZ_BIEY01000_fasta,0,1
NZ_BHZQ01000_fasta,0,1
9013_Nordic_E102_fasta,1,0
9526_6885_fasta,1,0
1588_SS_378_fasta,1,0
1614_SS_411_fasta,1,0
8998_Nordic_E48_fasta,1,0
7156_6414_fasta,1,0
9534_Nordic_E43_fasta,1,0
1602_SS_395_fasta,1,0
8732_MOD1_EC6541_fasta,1,0
3743_AV101_fasta,1,0
6990_2922_fasta,1,0
8707_E102_fasta,1,0
9441_5893_fasta,1,0
7135_6117_fasta,1,0
3798_AV59_fasta,1,0
4064_AV_b2_98_fasta,1,0
4056_AV_b2_17_fasta,1,0
